City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
barrow,71.2906,-156.7887,10.4,79,1,6.69,US,1619445931
waspan,14.7419,-83.9717,80.6,83,20,3.09,NI,1619446125
pangnirtung,66.1451,-65.7125,37.4,87,90,3.09,CA,1619446126
avarua,-21.2078,-159.775,69.8,100,54,1.03,CK,1619446127
yerbogachen,61.2767,108.0108,19.83,73,91,4.65,RU,1619446128
soyo,-6.1349,12.3689,87.8,74,75,3.6,AO,1619446128
keti bandar,24.1447,67.4497,83.88,70,0,6.82,PK,1619446128
port elizabeth,-33.918,25.5701,64.4,77,0,8.75,ZA,1619445948
amderma,-33.65,115.3333,61.0,86,100,0.45,AU,1619446129
busselton,65.282,-126.8329,12.2,67,90,4.12,CA,1619446129
norman wells,7.9803,49.8164,85.82,63,100,4.34,SO,1619446129
eyl,3.0707,172.7902,83.03,75,96,6.61,KI,1619446130
butaritari,49.058,-122.4709,46.99,93,90,0.22,CA,1619446131
aldergrove,42.6001,-73.9662,42.01,41,8,1.34,US,1619445609
albany,77.484,-69.3632,36.1,68,37,3.86,GL,1619445870
qaanaaq,72.7868,-56.1549,36.39,86,100,2.4,GL,1619446132
upernavik,51.7716,52.7427,54.05,37,100,1.76,RU,1619446133
tashla,48.2193,26.2653,52.0,49,99,1.34,UA,1619446134
novoselytsya,62.456,-114.3525,-4.0,71,75,6.17,CA,1619446134
yellowknife,5.4112,100.3354,86.0,74,20,1.54,MY,1619445938
georgetown,65.6145,-37.6368,39.2,75,90,4.36,GL,1619446012
attawapiskat,29.6994,-91.2068,70.0,100,1,2.57,US,1619446136
tasiilaq,-0.9492,100.3543,78.8,94,40,2.06,ID,1619445844
morgan city,60.7522,-137.5108,24.8,86,1,0.51,CA,1619446137
padang,71.9167,114.0833,-0.76,100,71,3.05,RU,1619446137
haines junction,-53.15,-70.9167,42.8,100,90,1.03,CL,1619445971
saskylakh,28.0996,-16.681,73.0,68,75,3.6,ES,1619446137
punta arenas,-10.7073,22.2247,75.54,71,47,1.91,AO,1619445984
arona,57.79,-152.4072,42.8,75,90,5.14,US,1619446138
luau,-20.3428,57.7575,78.8,78,75,7.2,MU,1619445898
kodiak,-21.3585,55.7679,78.8,73,20,7.2,RE,1619446138
bambous virieux,64.2539,-15.2082,44.6,53,40,9.26,IS,1619445989
saint-philippe,-27.55,151.9667,59.0,82,90,3.09,AU,1619446139
hofn,-42.7826,147.0587,48.99,80,33,0.89,AU,1619445883
toowoomba,15.1333,-23.2167,78.8,53,20,11.83,CV,1619446140
taolanaro,-23.1203,-134.9692,77.09,75,11,2.4,PF,1619446140
new norfolk,39.2167,-2.15,62.01,72,75,4.63,ES,1619446141
vila do maio,-37.6167,-73.65,56.43,74,0,4.89,CL,1619446141
rikitea,-34.4187,19.2345,72.0,61,6,0.89,ZA,1619446141
la roda,38,37,75.2,31,20,11.83,TR,1619446143
lebu,-46.6,168.3333,42.01,84,82,7.63,NZ,1619446143
hermanus,61.9875,5.1352,48.2,49,20,3.6,NO,1619446144
kahramanmaras,-33.5906,26.891,79.3,57,100,5.49,ZA,1619445916
bluff,71.0357,27.8492,35.6,64,75,6.69,NO,1619446145
raudeberg,69.4541,-133.0374,3.2,78,40,4.12,CA,1619446146
port alfred,-22.9575,14.5053,78.8,44,0,6.69,NA,1619446146
ituni,-38.2667,141.9667,56.75,74,98,1.98,AU,1619446147
mehamn,65.5833,-171,19.04,80,56,2.77,RU,1619446148
tuktoyaktuk,-45.5752,-72.0662,53.6,62,75,1.54,CL,1619446124
walvis bay,-33.2333,-54.3833,64.2,61,0,5.18,UY,1619446148
codrington,-8.9266,125.4092,56.17,75,9,0.81,TL,1619446149
lavrentiya,42.097,-79.2353,39.99,64,1,6.69,US,1619446107
vaitupu,42.975,144.3747,31.24,78,3,3.01,JP,1619445927
saleaula,73.5069,80.5464,31.82,98,100,8.66,RU,1619446149
coihaique,67.6803,53.1512,38.26,97,100,2.08,RU,1619446149
treinta y tres,32.6667,-17.1,66.99,83,37,1.34,PT,1619446077
airai,42.6056,-83.1499,39.0,65,90,4.12,US,1619445870
jamestown,-33.8667,121.9,64.4,59,100,1.54,AU,1619446150
kushiro,49.9122,16.6119,53.01,34,34,1.79,CZ,1619446150
bur gabo,59.7,150.1667,13.28,89,15,1.63,RU,1619446151
dikson,37.4636,-122.4286,48.0,93,75,1.49,US,1619446151
iskateley,30.4833,-115.95,56.93,85,100,2.35,MX,1619446151
ponta do sol,53.0452,158.6483,35.6,100,90,2,RU,1619446085
troy,66.0449,-17.3389,37.4,81,40,4.12,IS,1619446151
esperance,59.7035,30.7861,41.0,87,75,3,RU,1619446152
lanskroun,-20.7511,-51.6783,78.51,50,97,2.91,BR,1619445943
arman,40.4272,71.7189,80.6,19,0,2.06,UZ,1619446153
half moon bay,-24.7911,-50.0119,68.52,65,3,0.6,BR,1619446153
san quintin,34.2576,-88.7034,62.6,67,1,2.57,US,1619446017
petropavlovsk-kamchatskiy,-32.035,-52.0986,71.6,64,40,5.14,BR,1619446052
husavik,68.75,161.3,4.17,96,52,2.43,RU,1619446154
nikolskoye,-3.1019,-60.025,80.6,83,75,2.06,BR,1619446155
tres lagoas,-46.1927,168.8643,42.01,84,100,2.78,NZ,1619446155
komsomolskiy,-33.2926,23.4895,81.9,18,100,7.15,ZA,1619446155
castro,27.9769,-114.0611,59.7,71,100,3.13,MX,1619446156
tupelo,37.2647,-6.5167,66.99,76,100,1.79,ES,1619446156
rio grande,22.0752,-159.319,73.4,78,75,5.14,US,1619446156
cherskiy,22.6783,-3.9836,105.98,8,58,2.3,ML,1619446157
manaus,68.0531,39.5131,31.05,84,100,9.99,RU,1619446158
illoqqortoormiut,-51.6226,-69.2181,48.2,71,75,1.03,AR,1619446130
mataura,65.7,82.4667,29.1,90,17,5.23,RU,1619446159
willowmore,-21.2,-175.2,77.0,94,75,3.09,TO,1619446160
guerrero negro,-0.7393,-90.3518,78.8,83,75,6.17,EC,1619446161
almonte,-22.092,-70.1979,70.77,58,0,3.09,CL,1619446161
kapaa,-3.5534,143.6268,79.41,81,34,1.17,PG,1619446162
taoudenni,-14.55,48.7333,69.64,90,76,0.95,MG,1619446163
ostrovnoy,-22.9661,-42.0278,78.8,83,20,3.6,BR,1619446163
rio gallegos,-18.2494,-43.6003,77.02,42,82,1.01,BR,1619446164
krasnoselkup,17.1561,-89.0714,78.8,78,0,3.09,BZ,1619446164
sorvag,7.7669,-72.225,82.4,69,40,2.57,VE,1619446165
vaini,36.6777,-121.6555,46.4,93,1,0.21,US,1619446156
puerto ayora,-54.8,-68.3,41.0,87,75,1.54,AR,1619446166
tocopilla,50.3643,108.7512,30.85,91,60,5.15,RU,1619446166
wewak,51.5877,-2.9984,57.0,48,16,3.13,GB,1619446166
bealanana,58.8053,-122.7002,26.6,74,75,4.63,CA,1619446167
arraial do cabo,-19.55,169.2667,76.37,79,100,5.18,VU,1619446167
diamantina,7.7029,27.9953,91.76,38,87,2.85,SS,1619446167
san ignacio,18.6853,12.9164,106.72,6,2,4.31,NE,1619445976
san cristobal,51.3813,1.3862,48.99,52,100,3.58,GB,1619446168
salinas,20.5169,-13.0499,97.0,12,53,3.06,MR,1619446160
ushuaia,64.8569,-147.8028,32.0,80,75,1.22,US,1619446169
krasnyy chikoy,54.1088,102.1648,32.72,92,95,6.1,RU,1619446170
newport,34.3833,131.2,55.4,67,0,4.12,JP,1619446170
fort nelson,58.6881,99.1844,26.26,94,55,1.24,RU,1619446170
isangel,36.2411,115.6672,57.52,83,98,4.19,CN,1619446171
wau,-38.0023,-57.5575,61.0,72,20,2.06,AR,1619446171
bilma,-33.9258,18.4232,68.0,64,75,6.17,ZA,1619445399
margate,-33.0153,27.9116,77.0,61,0,3.6,ZA,1619445908
barentsburg,70.8578,29.0864,35.6,64,75,6.69,NO,1619446171
atar,55.38,91.6,36.05,98,91,2.01,RU,1619446172
college,41.3712,-73.414,46.4,42,20,3.6,US,1619445957
sayansk,65.8167,87.9833,21.29,91,31,1.12,RU,1619445892
nagato,40.8021,-124.1637,46.0,89,33,1.95,US,1619446173
kodinsk,-30.1391,-51.2244,66.2,72,40,4.63,BR,1619446173
shenxian,28.6585,-17.9182,73.4,60,75,3.09,ES,1619446174
mar del plata,19.1059,37.3321,89.78,53,3,4.2,SD,1619446174
cape town,48.0448,40.045,46.4,87,40,6,RU,1619446174
east london,22.9333,57.5333,94.1,11,68,2.41,OM,1619446175
berlevag,60.1432,-45.2371,33.91,99,100,3.33,GL,1619446156
balakhta,64.2273,27.7285,35.6,69,90,3.6,FI,1619446175
bethel,19.7297,-155.09,69.8,83,75,0.92,US,1619446176
turukhansk,-20.4081,57.7,78.8,78,75,7.2,MU,1619445985
eureka,32.9854,70.6027,90.36,15,12,1.95,PK,1619446176
ipanema,-11.9472,-75.2829,55.17,63,8,0.92,PE,1619446176
los llanos de aridane,-29.5128,-51.9853,64.0,91,98,0.78,BR,1619446177
sawakin,34.6391,-120.4579,50.0,93,7,2.08,US,1619446178
almaznyy,-0.6136,-47.3561,84.24,68,92,3.7,BR,1619446179
nizwa,64.3833,-173.3,31.42,93,80,0.49,RU,1619446180
nanortalik,60.5544,-151.2583,32.0,80,1,1.54,US,1619446181
alotau,22.6667,106.25,68.85,97,100,0.32,VN,1619446181
